,Full_Reviews,Ratings
0,"Everything works with very fast speed due to i3 11th Gen, 8 Gb RAM and 512 Gb Nvme SSD. FHD display is awesome. Sound quality is also great. Light weight (only 1.4 kg). Battery performance is very good. Backlit keyboard and fingerprint sensor make it more valuable laptop.

✍️ Surjya kumar Das, Assam",5
1,"Good morning.
It is a nice product.
I used it for a day, and it is strong and muscular. Works just as a Bugatti but looks a bit like an Audi .
You can go for it if budget below 45000.
Backlit keyboard is also strong and useful.
Fingerprint scanner is fast and powerful.

So go for it. But do a bit research befor buying .

Thankyou.",5
2,"Performance of the laptop is good. Login screen appears in ~9 seconds from power on. Fingerprint sensor works like a charm. Sound is ok.

Display port/charging using Type C port is not supported. Laptop looks good but not satisfied with the build quality. Power button is integrated to keyboard and it looks like a normal key. Display quality is average.

After initial setup laptop, it showed some sort of glitches. It was not turning on for a couple of hours. Later somehow it turned on and no...",3
3,"Flipkart just took 2 days to deliver the product.
I have used it now for just few hours, so here is the first impressions....
Battery is great as of now.
Display is great... vibrant and crisp.
i3 11 th gen handles everything too easily.
SSD is toooo fast...i have made a partition of 175gb for c drive.
Design is also great.
Comes with genuine windows 10 and ms office home & student 2019.
As of now.... everything is great. Now let's see what happens after some time, I'll edit the review after ...",5
4,"Got it 40k,and at that particular price it's just amazing...Went onn with many other models in this category but some or other features used to be missing...but asus gives us a laptop which fulfill all our requirements...
Compact Design
Awesome Speaker(Note- Initially the volume was low but later on called asus and then they guided me with an update after which sound got increased)
Very Nice battery backup, additionally it shows how long the battery would go depending upon the usage.
Omg! Tha...",5
5,"It's a best laptop in this price range. I have bought this in summer sale for Rs38900.
1. Talking about performance it is upto the mark.
2. Battery backup is also good it give 7-8 hours backup if you are using continuously.
3. Camera is also good, but it doesn't have privacy sutter.
4. Talking about the boot up time it takes only 2 seconds.
5. Speakers are also good and have relevant sound. It has 2 speakers, right and left side.
6. It also have backlit keyboard.
7 it has plastic body.

Wai...",5
6,It's best value for money laptop. Don't think about HP i3 11th because after 1 year HP will be slow definitely but not Vivobook. Battery is very good. Performance is awesome. Display is more awesome. Every thing is awesome in the budget range . You can buy it blindly. Its quite better than ryzen 5 3500u because it's a latest processor. I love it so much.,5
7,"This is good product but speakar quality is not good
And battry life is normal and build quality is very
Good and this is not gaming laptop but I am impressed
This laptop . thanks Flipkart",4
8,"*Updated after 7 days of use
Received this yesterday. Got it for 37.5k
Nice performance in mid range. Seems very delicate. You have to use with care. If you are ruff and tuff user, should avoid. Very slim and light weight.

Battery is good. 4 to 5 hours
Cam is average.
Sound is good. Not very loud but clear.
Keyboard look is nice but build quality is delicate. Use keyboard guard.
Finger print scanner excellent.
Speed excellent for day to day usage. Played morden combat 5 and worked good.

Val...",5
9,"Very good laptop aaj he mne buy kia h display quality is also very good
sould quality is okh
fingerprint sensor is very good
its very great laptop in budget
i think vivobook just work on lil bit speaker
other all is good
speaker is good not bad",5
10,"Everything works with very fast speed due to i3 11th Gen, 8 Gb RAM and 512 Gb Nvme SSD. FHD display is awesome. Sound quality is also great. Light weight (only 1.4 kg). Battery performance is very good. Backlit keyboard and fingerprint sensor make it more valuable laptop.

✍️ Surjya kumar Das, Assam",5
11,"Good morning.
It is a nice product.
I used it for a day, and it is strong and muscular. Works just as a Bugatti but looks a bit like an Audi .
You can go for it if budget below 45000.
Backlit keyboard is also strong and useful.
Fingerprint scanner is fast and powerful.

So go for it. But do a bit research befor buying .

Thankyou.",5
12,"Performance of the laptop is good. Login screen appears in ~9 seconds from power on. Fingerprint sensor works like a charm. Sound is ok.

Display port/charging using Type C port is not supported. Laptop looks good but not satisfied with the build quality. Power button is integrated to keyboard and it looks like a normal key. Display quality is average.

After initial setup laptop, it showed some sort of glitches. It was not turning on for a couple of hours. Later somehow it turned on and no...",3
13,"Flipkart just took 2 days to deliver the product.
I have used it now for just few hours, so here is the first impressions....
Battery is great as of now.
Display is great... vibrant and crisp.
i3 11 th gen handles everything too easily.
SSD is toooo fast...i have made a partition of 175gb for c drive.
Design is also great.
Comes with genuine windows 10 and ms office home & student 2019.
As of now.... everything is great. Now let's see what happens after some time, I'll edit the review after ...",5
14,"Got it 40k,and at that particular price it's just amazing...Went onn with many other models in this category but some or other features used to be missing...but asus gives us a laptop which fulfill all our requirements...
Compact Design
Awesome Speaker(Note- Initially the volume was low but later on called asus and then they guided me with an update after which sound got increased)
Very Nice battery backup, additionally it shows how long the battery would go depending upon the usage.
Omg! Tha...",5
15,"It's a best laptop in this price range. I have bought this in summer sale for Rs38900.
1. Talking about performance it is upto the mark.
2. Battery backup is also good it give 7-8 hours backup if you are using continuously.
3. Camera is also good, but it doesn't have privacy sutter.
4. Talking about the boot up time it takes only 2 seconds.
5. Speakers are also good and have relevant sound. It has 2 speakers, right and left side.
6. It also have backlit keyboard.
7 it has plastic body.

Wai...",5
